epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
104,245.773,0.2927,0.17366,0.32211,0.81552,0.98272,0.98947,0.99095,0.9472,0.98272,0.98947,0.99109,0.89465,0.24545,0.37412,0.28905,0.80651,0.00110039,0.00110039,0.00110039
105,248.097,0.27754,0.19671,0.30472,0.81025,0.94643,0.97939,0.99316,0.9548,0.94643,0.97939,0.99316,0.90035,0.22853,0.33803,0.28392,0.81585,0.00109489,0.00109489,0.00109489
106,250.52,0.28496,0.21144,0.30207,0.80887,0.94459,0.97839,0.98376,0.95193,0.94459,0.97839,0.98376,0.90811,0.23642,0.30759,0.29378,0.81482,0.00108938,0.00108938,0.00108938
107,252.983,0.27126,0.14733,0.29669,0.80953,0.94288,0.98081,0.96836,0.923,0.94288,0.98081,0.96836,0.88125,0.22994,0.28044,0.28011,0.8109,0.00108388,0.00108388,0.00108388
108,255.474,0.24288,0.14344,0.28237,0.80348,0.91679,0.95981,0.96179,0.92394,0.91679,0.95981,0.96179,0.87771,0.21249,0.28753,0.29656,0.80827,0.00107838,0.00107838,0.00107838
109,258.012,0.26021,0.15752,0.28169,0.80213,0.87704,0.97458,0.93942,0.89863,0.87704,0.97458,0.93942,0.85682,0.23001,0.27788,0.32424,0.81438,0.00107288,0.00107288,0.00107288
110,260.419,0.26725,0.16293,0.27879,0.819,0.90598,0.94805,0.93349,0.89806,0.90598,0.94805,0.93349,0.85911,0.22131,0.26847,0.31458,0.81363,0.00106738,0.00106738,0.00106738
111,262.766,0.2759,0.17734,0.30527,0.81261,0.9076,0.97926,0.93909,0.91872,0.9076,0.97926,0.93909,0.83701,0.21666,0.29399,0.31028,0.81185,0.00106188,0.00106188,0.00106188
112,265.087,0.27854,0.15384,0.28609,0.82244,0.90689,0.9795,0.95065,0.92843,0.90689,0.9795,0.95065,0.85872,0.21338,0.30538,0.30635,0.81019,0.00105638,0.00105638,0.00105638
113,267.476,0.25448,0.15089,0.27752,0.80013,0.94496,0.97173,0.96739,0.94516,0.94496,0.97173,0.96739,0.88132,0.20863,0.2766,0.29446,0.80939,0.00105088,0.00105088,0.00105088
114,269.743,0.26471,0.16189,0.3034,0.80832,0.93932,0.98268,0.96477,0.95081,0.93932,0.98268,0.96477,0.88078,0.21063,0.29164,0.29629,0.80662,0.00104538,0.00104538,0.00104538
115,272.107,0.25294,0.17183,0.278,0.80602,0.98402,0.98106,0.99339,0.9672,0.98402,0.98106,0.99339,0.91796,0.21212,0.32166,0.2752,0.80375,0.00103987,0.00103987,0.00103987
116,274.491,0.24268,0.16112,0.27775,0.8064,0.98217,0.98317,0.99394,0.98121,0.98217,0.98317,0.99394,0.90475,0.21058,0.32307,0.27375,0.80809,0.00103437,0.00103437,0.00103437
117,276.689,0.2397,0.14252,0.26272,0.79855,0.9822,0.98614,0.99166,0.97974,0.9822,0.98614,0.99166,0.89501,0.20329,0.3353,0.26707,0.81164,0.00102887,0.00102887,0.00102887
118,278.945,0.22855,0.15221,0.27308,0.80792,0.98486,0.98868,0.99138,0.97989,0.98486,0.98868,0.99138,0.88687,0.202,0.33697,0.26171,0.81269,0.00102337,0.00102337,0.00102337
119,281.175,0.22404,0.13742,0.26464,0.80536,0.9859,0.99048,0.98993,0.96838,0.9859,0.99048,0.98993,0.88574,0.21774,0.32887,0.26616,0.81207,0.00101787,0.00101787,0.00101787
120,283.383,0.26192,0.15504,0.29137,0.81519,0.98607,0.99151,0.98918,0.96597,0.98607,0.99151,0.98918,0.87933,0.20554,0.32387,0.26474,0.80771,0.00101237,0.00101237,0.00101237
121,285.618,0.25543,0.16466,0.27429,0.8087,0.98581,0.99505,0.99036,0.96049,0.98581,0.99505,0.99036,0.88702,0.20083,0.32143,0.25811,0.80633,0.00100687,0.00100687,0.00100687
